Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
1	Node1	combined	Drop	0	0	0	0
1	Node2	combined	Drop	0	0	0	0
1	Node3	combined	Drop	0	0	0	0
2	Node1	combined	Drop	0	0	0	0
2	Node2	combined	Drop	0	0	0	0
2	Node3	combined	Drop	0	0	0	0
3	Node1	combined	Drop	0	0	0	0
3	Node2	combined	Drop	0	0	0	0
3	Node3	combined	Drop	0	0	0	0
4	Node1	combined	Drop	0	0	0	0
4	Node2	combined	Drop	0	0	0	0
4	Node3	combined	Drop	0	0	0	0
5	Node1	combined	Drop	0	0	0	0
5	Node2	combined	Drop	0	0	0	0
5	Node3	combined	Drop	0	0	0	0
6	Node1	combined	Drop	0	0	0	0
6	Node2	combined	Drop	0	0	0	0
6	Node3	combined	Drop	0	0	0	0
7	Node1	combined	Drop	0	0	0	0
7	Node2	combined	Drop	0	0	0	0
7	Node3	combined	Drop	0	0	0	0
8	Node1	combined	Drop	0	0	0	0
8	Node2	combined	Drop	0	0	0	0
8	Node3	combined	Drop	0	0	0	0
9	Node1	combined	Drop	0	0	0	0
9	Node2	combined	Drop	0	0	0	0
9	Node3	combined	Drop	0	0	0	0
10	Node1	combined	Drop	0	0	0	0
10	Node2	combined	Drop	0	0	0	0
10	Node3	combined	Drop	0	0	0	0
11	Node1	combined	Drop	0	0	0	0
11	Node2	combined	Drop	0	0	0	0
11	Node3	combined	Drop	0	0	0	0
12	Node1	combined	Drop	0	0	0	0
12	Node2	combined	Drop	0	0	0	0
12	Node3	combined	Drop	0	0	0	0
13	Node1	combined	Drop	0	0	0	0
13	Node2	combined	Drop	0	0	0	0
13	Node3	combined	Drop	0	0	0	0
14	Node1	combined	Drop	0	0	0	0
14	Node2	combined	Drop	0	0	0	0
14	Node3	combined	Drop	0	0	0	0
15	Node1	combined	Drop	0	0	0	0
15	Node2	combined	Drop	0	0	0	0
15	Node3	combined	Drop	0	0	0	0
16	Node1	combined	Drop	0	0	0	0
16	Node2	combined	Drop	0	0	0	0
16	Node3	combined	Drop	0	0	0	0
17	Node1	combined	Drop	0	0	0	0
17	Node2	combined	Drop	0	0	0	0
17	Node3	combined	Drop	0	0	0	0
18	Node1	combined	Drop	0	0	0	0
18	Node2	combined	Drop	0	0	0	0
18	Node3	combined	Drop	0	0	0	0
19	Node1	combined	Drop	0	0	0	0
19	Node2	combined	Drop	0	0	0	0
19	Node3	combined	Drop	0	0	0	0
